               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.031635,            0.012383,            0.004061,             0.99094,             0.99777,               0.995,             0.75807,            0.018746,           0.0043475,           0.0014607,            0.006535,            0.006535,            0.006535
                 107,            0.029152,              0.0112,           0.0019926,             0.97968,                   1,               0.995,             0.69704,            0.021691,           0.0045457,           0.0013692,            0.006502,            0.006502,            0.006502
                 108,            0.034326,           0.0099765,           0.0024336,             0.96321,                   1,             0.99278,             0.73801,             0.02068,           0.0044905,           0.0013457,            0.006469,            0.006469,            0.006469
                 109,            0.027876,            0.010265,           0.0028184,             0.94902,                   1,             0.98761,             0.79211,            0.015712,           0.0043447,           0.0013535,            0.006436,            0.006436,            0.006436
                 110,            0.027019,            0.012131,           0.0024694,             0.97968,                   1,               0.995,             0.69784,            0.019419,           0.0044094,           0.0012466,            0.006403,            0.006403,            0.006403
                 111,            0.033529,            0.011312,           0.0033002,              0.9803,                   1,               0.995,             0.75502,            0.018197,           0.0043412,           0.0011921,             0.00637,             0.00637,             0.00637
                 112,            0.025798,            0.011496,           0.0020296,             0.98239,             0.99845,               0.995,             0.78487,            0.017931,           0.0043696,           0.0010737,            0.006337,            0.006337,            0.006337
                 113,            0.029105,            0.011497,           0.0030439,             0.91541,             0.99931,             0.99143,             0.76808,            0.020322,            0.004368,            0.001051,            0.006304,            0.006304,            0.006304
                 114,            0.027336,             0.01128,           0.0019931,              0.9415,             0.97516,             0.98022,             0.78867,            0.019077,           0.0043384,           0.0010004,            0.006271,            0.006271,            0.006271
                 115,            0.026082,            0.011301,           0.0019282,             0.88107,                   1,             0.94468,             0.75701,            0.020191,           0.0042274,          0.00097207,            0.006238,            0.006238,            0.006238
                 116,            0.030937,            0.010518,           0.0031575,             0.95074,             0.99815,             0.99386,             0.78915,            0.016453,           0.0041436,           0.0010309,            0.006205,            0.006205,            0.006205
                 117,            0.025533,            0.012976,           0.0017206,             0.98138,             0.99743,               0.995,             0.79449,            0.017834,           0.0040793,           0.0010934,            0.006172,            0.006172,            0.006172
                 118,            0.025915,            0.010578,           0.0019562,             0.97471,                   1,             0.99196,             0.77717,            0.019066,           0.0042187,           0.0011808,            0.006139,            0.006139,            0.006139
                 119,              0.0294,            0.010626,             0.00246,             0.95157,                   1,             0.99255,             0.76244,            0.019333,           0.0043678,           0.0012094,            0.006106,            0.006106,            0.006106
                 120,            0.029473,            0.010332,           0.0021391,             0.98753,                   1,               0.995,             0.82804,            0.016169,           0.0040755,           0.0011749,            0.006073,            0.006073,            0.006073
                 121,            0.029553,            0.011378,           0.0021513,             0.98514,                   1,               0.995,             0.80273,            0.015902,           0.0039935,           0.0011376,             0.00604,             0.00604,             0.00604
                 122,            0.028843,            0.010054,           0.0017949,             0.98503,             0.99834,               0.995,             0.80431,             0.01529,            0.004005,           0.0011117,            0.006007,            0.006007,            0.006007
                 123,             0.02892,            0.009798,           0.0026439,             0.98589,             0.99818,               0.995,             0.81615,            0.014872,           0.0040147,           0.0010379,            0.005974,            0.005974,            0.005974
                 124,            0.030136,           0.0090453,           0.0031366,             0.91637,             0.99167,              0.9777,             0.77285,            0.022582,           0.0041123,           0.0010087,            0.005941,            0.005941,            0.005941
                 125,            0.028088,            0.010607,            0.003173,             0.97901,             0.99424,               0.995,             0.81981,            0.019479,           0.0040922,           0.0010007,            0.005908,            0.005908,            0.005908
                 126,            0.030073,            0.010196,           0.0019057,             0.98875,             0.99729,               0.995,             0.76982,            0.017595,           0.0042353,           0.0010156,            0.005875,            0.005875,            0.005875
                 127,            0.027523,            0.010788,            0.002547,             0.99058,             0.99825,               0.995,             0.80117,            0.014665,           0.0040852,            0.001039,            0.005842,            0.005842,            0.005842
                 128,            0.023556,           0.0098622,           0.0016971,             0.95917,             0.99743,             0.99067,             0.76595,            0.019468,           0.0041914,           0.0010612,            0.005809,            0.005809,            0.005809
                 129,            0.026201,            0.011469,           0.0026268,             0.97855,             0.99743,               0.993,             0.77712,            0.015075,           0.0041691,           0.0010828,            0.005776,            0.005776,            0.005776
                 130,            0.027786,           0.0095485,           0.0018887,             0.98835,             0.99897,               0.995,             0.81119,            0.016375,            0.004144,            0.001093,            0.005743,            0.005743,            0.005743
                 131,             0.02574,            0.012638,           0.0028339,             0.89499,             0.99968,             0.97384,              0.7749,            0.018188,           0.0042465,           0.0010876,             0.00571,             0.00571,             0.00571
                 132,            0.028079,            0.010425,           0.0018895,             0.89895,             0.99881,             0.97236,             0.76861,             0.01885,           0.0043659,           0.0010493,            0.005677,            0.005677,            0.005677
                 133,            0.027669,            0.010202,           0.0025689,             0.98409,             0.99822,               0.995,             0.80654,            0.016216,           0.0043559,           0.0010572,            0.005644,            0.005644,            0.005644
                 134,            0.028569,            0.011447,           0.0024306,             0.98535,             0.99956,               0.995,             0.79491,             0.01516,           0.0042116,           0.0010472,            0.005611,            0.005611,            0.005611
                 135,            0.030224,            0.011916,           0.0018208,             0.98866,                   1,               0.995,             0.73263,            0.020237,           0.0042615,           0.0010765,            0.005578,            0.005578,            0.005578
                 136,            0.029402,            0.011803,           0.0024001,             0.98541,                   1,               0.995,             0.71754,            0.018967,           0.0042892,           0.0010917,            0.005545,            0.005545,            0.005545
                 137,            0.026966,             0.01008,           0.0019649,             0.98917,                   1,               0.995,              0.8166,            0.016013,           0.0040177,           0.0011447,            0.005512,            0.005512,            0.005512
                 138,            0.025757,            0.010584,           0.0016909,             0.99004,                   1,               0.995,               0.802,            0.015847,           0.0039856,           0.0011532,            0.005479,            0.005479,            0.005479
                 139,            0.026992,           0.0097123,           0.0036478,             0.99134,                   1,               0.995,             0.80541,            0.015924,           0.0040006,           0.0010805,            0.005446,            0.005446,            0.005446
                 140,            0.024763,            0.011322,            0.002025,             0.99142,                   1,               0.995,             0.78157,            0.017305,           0.0041022,          0.00097516,            0.005413,            0.005413,            0.005413
                 141,            0.023459,           0.0094467,           0.0018605,             0.99118,                   1,               0.995,             0.81675,            0.014179,           0.0040053,          0.00096856,             0.00538,             0.00538,             0.00538
                 142,            0.025004,            0.009633,           0.0020241,             0.99298,                   1,               0.995,             0.78926,             0.01798,           0.0041181,          0.00094404,            0.005347,            0.005347,            0.005347
                 143,             0.02812,           0.0099916,           0.0018573,             0.99339,                   1,               0.995,             0.82836,            0.015478,           0.0040649,          0.00093677,            0.005314,            0.005314,            0.005314
                 144,            0.027686,            0.010863,           0.0021105,             0.99316,                   1,               0.995,             0.75453,            0.017534,           0.0042195,          0.00088412,            0.005281,            0.005281,            0.005281
                 145,              0.0265,           0.0099012,            0.001842,             0.99353,                   1,               0.995,             0.81844,             0.01431,           0.0041027,           0.0008989,            0.005248,            0.005248,            0.005248
                 146,            0.025806,           0.0095366,           0.0015383,             0.99361,              0.9998,               0.995,             0.83627,             0.01362,           0.0040453,          0.00089435,            0.005215,            0.005215,            0.005215
                 147,            0.025333,            0.012107,           0.0018559,             0.99444,                   1,               0.995,             0.79226,            0.015028,           0.0040052,          0.00083276,            0.005182,            0.005182,            0.005182
